Wavelength,Reflectance,Transmittance
1377,0.3544,0.517
1378,0.3534,0.5164
1379,0.3526,0.5176
1380,0.3513,0.5168
1381,0.3499,0.5154
1382,0.35,0.5149
1383,0.3474,0.5131
1384,0.3441,0.5101
1385,0.3422,0.5076
1386,0.3385,0.5039
1387,0.3359,0.5004
1388,0.3322,0.4958
1389,0.3297,0.4934
1390,0.3263,0.4885
1391,0.3237,0.4854
1392,0.3212,0.4828
1393,0.3164,0.4791
1394,0.3125,0.4745
1395,0.3092,0.4714
1396,0.3054,0.468
1397,0.302,0.4631
1398,0.2997,0.4603
1399,0.2951,0.4562
1400,0.2924,0.453
1401,0.2886,0.4491
1402,0.2859,0.4452
1403,0.2824,0.4422
1404,0.28,0.4398
1405,0.2771,0.4362
1406,0.2742,0.4342
1407,0.2711,0.4297
1408,0.2681,0.4264
1409,0.2657,0.4234
1410,0.2627,0.4212
1411,0.2602,0.418
1412,0.2581,0.4151
1413,0.2567,0.4133
1414,0.254,0.4112
1415,0.2523,0.4094
1416,0.251,0.4066
1417,0.2496,0.4045
1418,0.2485,0.4035
1419,0.2464,0.4006
1420,0.245,0.3993
1421,0.244,0.3981
1422,0.2422,0.3957
1423,0.2402,0.3948
1424,0.2386,0.3932
1425,0.2383,0.3919
1426,0.2366,0.3912
1427,0.2356,0.3893
1428,0.2343,0.3871
1429,0.2333,0.3874
1430,0.2332,0.3863
1431,0.2326,0.3853
1432,0.2326,0.3834
1433,0.2308,0.3837
1434,0.2304,0.3817
1435,0.2296,0.3817
1436,0.2295,0.3808
1437,0.229,0.3806
1438,0.2284,0.3812
1439,0.2279,0.3796
1440,0.2281,0.3798
1441,0.2277,0.3789
1442,0.2269,0.3786
1443,0.2264,0.3786
1444,0.2271,0.378
1445,0.2261,0.378
1446,0.2251,0.3771
1447,0.2261,0.3775
1448,0.2255,0.3776
1449,0.2258,0.3768
1450,0.2257,0.3773
1451,0.2256,0.3766
1452,0.2254,0.3769
1453,0.226,0.3778
1454,0.2253,0.376
1455,0.2248,0.376
1456,0.2249,0.3755
1457,0.2253,0.3755
1458,0.2255,0.3762
1459,0.225,0.3771
1460,0.2261,0.3772
1461,0.2259,0.3777
1462,0.2266,0.3777
1463,0.2272,0.3786
1464,0.2283,0.3791
1465,0.2277,0.3805
1466,0.228,0.3817
1467,0.2294,0.3818
1468,0.2298,0.3833
