%global
    time = "2022-01-01/48"
    
%groundwater
    id = "0"
    
%data
* *	*	watertable
2022	97	31	1.897
2022	97	32	1.896
2022	97	33	1.896
2022	97	34	1.895
2022	97	35	1.896
2022	97	36	1.895
2022	97	37	1.895
2022	97	38	1.895
2022	97	39	1.894
2022	97	40	1.896
2022	97	41	1.895
2022	97	42	1.896
2022	97	43	1.897
2022	97	44	1.898
2022	97	45	1.9
2022	97	46	1.901
2022	97	47	1.904
2022	97	48	1.907
2022	98	1	1.908
2022	98	2	1.911
2022	98	3	1.914
2022	98	4	1.919
2022	98	5	1.924
2022	98	6	1.926
2022	98	7	1.929
2022	98	8	1.934
2022	98	9	1.936
2022	98	10	1.938
2022	98	11	1.938
2022	98	12	1.941
2022	98	13	1.944
2022	98	14	1.946
2022	98	15	1.946
2022	98	16	1.949
2022	98	17	1.947
2022	98	18	1.944
2022	98	19	1.944
2022	98	20	1.943
2022	98	21	1.941
2022	98	22	1.943
2022	98	23	1.942
2022	98	24	1.942
2022	98	25	1.943
2022	98	26	1.944
2022	98	27	1.944
2022	98	28	1.946
2022	98	29	1.947
2022	98	30	1.948
2022	98	31	1.948
2022	98	32	1.951
2022	98	33	1.952
2022	98	34	1.955
2022	98	35	1.955
2022	98	36	1.952
2022	98	37	1.948
2022	98	38	1.946
2022	98	39	1.945
2022	98	40	1.944
2022	98	41	1.943
2022	98	42	1.943
2022	98	43	1.944
2022	98	44	1.943
2022	98	45	1.945
2022	98	46	1.945
2022	98	47	1.946
2022	98	48	1.948
2022	99	1	1.949
2022	99	2	1.948
2022	99	3	1.949
2022	99	4	1.95
2022	99	5	1.95
2022	99	6	1.951
2022	99	7	1.951
2022	99	8	1.951
2022	99	9	1.95
2022	99	10	1.949
2022	99	11	1.949
2022	99	12	1.948
2022	99	13	1.949
2022	99	14	1.946
2022	99	15	1.946
2022	99	16	1.943
2022	99	17	1.941
2022	99	18	1.94
2022	99	19	1.938
2022	99	20	1.936
2022	99	21	1.934
2022	99	22	1.933
2022	99	23	1.933
2022	99	24	1.932
2022	99	25	1.931
2022	99	26	1.931
2022	99	27	1.934
2022	99	28	1.934
2022	99	29	1.935
2022	99	30	1.936
2022	99	31	1.938
2022	99	32	1.939
2022	99	33	1.939
2022	99	34	1.94
2022	99	35	1.94
2022	99	36	1.942
2022	99	37	1.942
2022	99	38	1.943
2022	99	39	1.944
2022	99	40	1.946
2022	99	41	1.947
2022	99	42	1.948
2022	99	43	1.951
2022	99	44	1.952
2022	99	45	1.953
2022	99	46	1.953
2022	99	47	1.953
2022	99	48	1.955
2022	100	1	1.955
2022	100	2	1.957
2022	100	3	1.957
2022	100	4	1.958
2022	100	5	1.958
2022	100	6	1.959
2022	100	7	1.959
