 Wavelength Refl Tran
1206 0.4239 0.4647 
1207 0.4237 0.4647 
1208 0.4235 0.4649 
1209 0.4239 0.4653 
1210 0.4230 0.4662 
1211 0.4232 0.4666 
1212 0.4243 0.4654 
1213 0.4242 0.4650 
1214 0.4231 0.4654 
1215 0.4230 0.4656 
1216 0.4233 0.4659 
1217 0.4232 0.4676 
1218 0.4243 0.4681 
1219 0.4239 0.4673 
1220 0.4242 0.4675 
1221 0.4237 0.4681 
1222 0.4238 0.4683 
1223 0.4233 0.4674 
1224 0.4245 0.4672 
1225 0.4249 0.4684 
1226 0.4245 0.4688 
1227 0.4243 0.4688 
1228 0.4245 0.4696 
1229 0.4240 0.4695 
1230 0.4252 0.4690 
1231 0.4248 0.4697 
1232 0.4252 0.4703 
1233 0.4244 0.4701 
1234 0.4248 0.4699 
1235 0.4257 0.4708 
1236 0.4262 0.4708 
1237 0.4253 0.4701 
1238 0.4251 0.4696 
1239 0.4250 0.4706 
1240 0.4256 0.4716 
1241 0.4258 0.4721 
1242 0.4264 0.4715 
1243 0.4265 0.4720 
1244 0.4262 0.4726 
1245 0.4269 0.4730 
1246 0.4273 0.4737 
1247 0.4271 0.4732 
1248 0.4263 0.4724 
1249 0.4265 0.4735 
1250 0.4270 0.4730 
1251 0.4269 0.4737 
1252 0.4265 0.4743 
1253 0.4267 0.4742 
1254 0.4263 0.4735 
1255 0.4276 0.4742 
1256 0.4259 0.4751 
1257 0.4266 0.4745 
1258 0.4274 0.4742 
1259 0.4270 0.4751 
1260 0.4271 0.4750 
1261 0.4274 0.4756 
1262 0.4276 0.4746 
1263 0.4272 0.4744 
1264 0.4264 0.4751 
1265 0.4268 0.4748 
1266 0.4268 0.4748 
1267 0.4266 0.4745 
1268 0.4261 0.4745 
1269 0.4266 0.4748 
1270 0.4272 0.4747 
1271 0.4266 0.4751 
1272 0.4260 0.4737 
1273 0.4251 0.4739 
1274 0.4257 0.4748 
1275 0.4254 0.4742 
1276 0.4257 0.4743 
1277 0.4253 0.4744 
1278 0.4253 0.4753 
1279 0.4254 0.4751 
1280 0.4250 0.4740 
1281 0.4246 0.4739 
1282 0.4256 0.4748 
1283 0.4252 0.4746 
1284 0.4245 0.4737 
1285 0.4242 0.4748 
1286 0.4236 0.4737 
1287 0.4232 0.4735 
1288 0.4248 0.4733 
1289 0.4242 0.4734 
