Species,Family,Authority,Growth Form,Exotic,
Aegiphila grandis,Lamiaceae,Mold.,T,,
Aegiphila haughtii,Lamiaceae,Moldenke,"S,T",,
Aegiphila hoehnei,Lamiaceae,Moldenke,T,,
Aegiphila insignis,Lamiaceae,Moldenke,V,,
Aegiphila integrifolia,Lamiaceae,(Jacq.) B.D. Jacks.,"S,T",,
Aegiphila intermedia,Lamiaceae,Moldenke,,,
Aegiphila laeta,Lamiaceae,Kunth,"S,T",,
Aegiphila laevis,Lamiaceae,(Aubl.) J.F. Gmel.,,,
Aegiphila lanceolata,Lamiaceae,Moldenke,V,,
Aegiphila laxiflora,Lamiaceae,Benth.,T,,
Aegiphila lehmannii,Lamiaceae,Mold.,"T,S",,
Aegiphila lopez-palacii,Lamiaceae,Mold.,T,,
Aegiphila loretensis,Lamiaceae,Moldenke,S,,
Aegiphila martinicensis,Lamiaceae,Jacq.,"S,T",,
Aegiphila membranacea,Lamiaceae,Turcz.,,,
Aegiphila mollis,Lamiaceae,Kunth,"S,T",,
Aegiphila monticola,Lamiaceae,Mold.,T,,
Aegiphila mortoni,Lamiaceae,Moldenke,S,,
Aegiphila multiflora,Lamiaceae,Ruiz Lopez & Pavon,S,,
Aegiphila novogranatensis,Lamiaceae,Moldenke,M,,
Aegiphila odontophylla,Lamiaceae,Donn. Sm.,"S,T",,
Aegiphila ovata,Lamiaceae,Moldenke,S,,
Aegiphila panamensis,Lamiaceae,Moldenke,"M,S,U",,
Aegiphila pauciflora,Lamiaceae,Standl.,"T,S",,
Aegiphila pavoniana,Lamiaceae,Mold.,S,,
Aegiphila peruviana,Lamiaceae,Turcz.,"S,T,V",,
Aegiphila pulcherrima,Lamiaceae,Moldenke,V,,
Aegiphila purpurascens,Lamiaceae,Mold.,T,,
Aegiphila racemosa,Lamiaceae,Vell.,,,
Aegiphila rimbachii,Lamiaceae,Mold.,T,,
Aegiphila roraimensis,Lamiaceae,Moldenke,T,,
Aegiphila schimpffii,Lamiaceae,Mold.,T,,
Aegiphila sellowiana,Lamiaceae,Cham.,U,,
Aegiphila smithii,Lamiaceae,Moldenke,"S,V",,
Aegiphila sordida,Lamiaceae,Moldenke,T,,
Aegiphila spicata,Lamiaceae,(Rusby) Moldenke,"S,T,V",,
Aegiphila spruceana,Lamiaceae,Moldenke,S,,
Aegiphila sufflava,Lamiaceae,Moldenke,"S,T,V",,
Aegiphila umbraculiformis,Lamiaceae,Moldenke,S,,
Aegiphila velutinosa,Lamiaceae,Moldenke,S,,
Aegiphila villosa,Lamiaceae,(Aubl.) J.F. Gmel.,,,
Aegiphila volubilis,Lamiaceae,Mold.,"S,V",,
Aequatorium asterotrichum,Asteraceae,B. Nord.,"T,S",,
Aequatorium cajamarcense,Asteraceae,H. Rob. & Cuatrec.,T,,
Aequatorium carpishense,Asteraceae,(Cuatrec.) H. Rob. & Cuatrec.,T,,
Aequatorium jamesonii,Asteraceae,(S. F. Blake) C. Jeffrey,U,,
Aequatorium juninense,Asteraceae,H. Rob. & Cuatrec.,S,,
Aequatorium lepidotum,Asteraceae,B. Nord.,T,,
Aequatorium limonense,Asteraceae,B. Nord.,U,,
Aequatorium repandiforme,Asteraceae,B. Nord.,"T,U",,
Aequatorium rimachianum,Asteraceae,(Cuatrec.) H. Rob. & Cuatrec.,T,,
Aequatorium stellatopilosum,Asteraceae,(Greenm. & Cuatrec.) C. Jeffrey,T,,
Aequatorium tovarii,Asteraceae,Robinson & Cuatrecasas,S,,
Aequatorium tuestae,Asteraceae,(Cuatrec.) H. Rob. & Cuatrec.,S,,
Aeschynomene americana,Fabaceae,L.,U,,
Aeschynomene ciliata,Fabaceae,Vogel,U,,
Aeschynomene egena,Fabaceae,(J.F. Macbr.) Rudd,S,,
Aeschynomene falcata,Fabaceae,(Poir.) DC.,S,,
Aeschynomene pluriarticulata,Fabaceae,G. Don,S,,
Aeschynomene scabra,Fabaceae,G. Don,S,,
Aeschynomene scoparia,Fabaceae,Kunth,S,,
Aeschynomene sensitiva,Fabaceae,Sw.,S,,
Aeschynomene tumbezensis,Fabaceae,J.F. Macbr.,S,,
Aeschynomene weberbaueri,Fabaceae,Ulbr.,S,,
Aetanthus andreanus,Loranthaceae,(Tieghem) Engl.,S,,
Aetanthus macranthus,Loranthaceae,(Hook.) Kuijt,S,,
Aetanthus nodosus,Loranthaceae,(Desr.) Engl.,S,,
Aetheolaena lingulata,Asteraceae,(Schldl.) B. Nord.,S,,
Aetheolaena rosana,Asteraceae,(Cuatrec.) B. Nord.,S,,
Agalinis lanceolata,Orobanchaceae,(Ruiz & Pav.) D'Arcy,S,,
Agarista albiflora,Ericaceae,(B. Fedtsch. & Basilevsk.) Judd,S,,
Agarista bracamorensis,Ericaceae,(Kunth) G. Don,"T,S",,
Agarista subcordata,Ericaceae,(Dunal) Judd,S,,
Agathis robusta,Araucariaceae,(C. Moore ex F. Muell.) C. Moore ex F. Muell.C. Mo,,,
Ageratina azangaroensis,Asteraceae,(Sch. Bip. ex Wedd.) R.M. King & H. Rob.,S,,
Ageratina bishopii,Asteraceae,R.M. King & H. Rob.,S,,
Ageratina boekei,Asteraceae,R.M. King & H. Rob.,S,,
Ageratina chachapoyasensis,Asteraceae,(Cuatrec.) R.M. King & H. Rob.,S,,
Ageratina choricephaloides,Asteraceae,(B.L. Rob.) R.M. King & H. Rob.,S,,
Ageratina cuencana,Asteraceae,(B. Robinson) B. RobinsonR. King & H. Robinson,S,,
Ageratina cutervensis,Asteraceae,(Hieron.) R.M. King & H. Rob.,S,,
Ageratina cuzcoensis,Asteraceae,(Hieron.) R.M. King & H. Rob.,S,,
Ageratina dendroides,Asteraceae,(Spreng.) Spreng.R. King & H. Robinson,S,,
Ageratina dombeyana,Asteraceae,(DC.) R.M. King & H. Rob.,S,,
Ageratina elegans,Asteraceae,(Kunth) R.M. King & H. Rob.,S,,
Ageratina exsertovenosa,Asteraceae,(Klatt) KlattR. King & H. Robinson,S,,
Ageratina fastigiata,Asteraceae,(Kunth) KunthR. King & H. Robinson,S,,
Ageratina gilbertii,Asteraceae,(B.L. Rob.) R.M. King & H. Rob.,S,,
