Species,Family,Authority,Growth Form,Exotic,
Albizia lebbeck,Fabaceae-mimosoideae,(L.) Benth.,T,*,
Albizia leucocalyx,Fabaceae-mimosoideae,(Britton & Rose) L. Rico,T,,
Albizia marginata,Fabaceae-mimosoideae,Buch.-Ham. ex Wall.,T,,
Albizia multiflora,Fabaceae-mimosoideae,(Kunth) Barneby & J.W. Grimes,T,,
Albizia niopoides,Fabaceae-mimosoideae,(Spruce ex Benth.) Burkart,T,,
Albizia paucipinnata,Fabaceae-mimosoideae,Schery,T,,
Albizia pistaciifolia,Fabaceae-mimosoideae,(Willd.) Willd.Barneby & J.W. Grimes,T,,
Albizia polycephala,Fabaceae-mimosoideae,(Benth.) Killip ex Record,T,,
Albizia procera,Fabaceae-mimosoideae,(Roxb.) Benth.,T,*,
Albizia purpusii,Fabaceae-mimosoideae,Britton & Rose,T,,
Albizia saman,Fabaceae-mimosoideae,(Jacq.) F. Muell.,,,
Albizia subdimidiata,Fabaceae-mimosoideae,(Splitg.) Barneby & J.W. Grimes,T,,
Alchornea acroneura,Euphorbiaceae,Pax & K. Hoffm. in Engl.,"T,S",,
Alchornea acutifolia,Euphorbiaceae,Mu|2ll. Arg.,"T,S",,
Alchornea brevistyla,Euphorbiaceae,Pax & K. Hoffm. in Engl.,T,,
Alchornea castaneifolia,Euphorbiaceae,(Humb. & Bonpl. ex Willd.) A. Juss.,S,,
Alchornea coelophylla,Euphorbiaceae,Pax & K. Hoffm. in Engl.,T,,
Alchornea cordata,Euphorbiaceae,(Juss.) M?ll. Arg.,,,
Alchornea costaricensis,Euphorbiaceae,Pax & K. Hoffm. in Engl.,T,,
Alchornea discolor,Euphorbiaceae,Poepp.,,,
Alchornea fluviatilis,Euphorbiaceae,R. Secco,T,,
Alchornea glandulosa,Euphorbiaceae,Poepp.,T,,
Alchornea grandiflora,Euphorbiaceae,(Juss.) M?ll. Arg.,T,,
Alchornea grandis,Euphorbiaceae,Benth.,T,,
Alchornea latifolia,Euphorbiaceae,Sw.,M,,
Alchornea leptogyna,Euphorbiaceae,Diels,T,,
Alchornea megalophylla,Euphorbiaceae,M?ll. Arg.,T,,
Alchornea obovata,Euphorbiaceae,Pax & K. Hoffm. in Engl.,T,,
Alchornea pearcei,Euphorbiaceae,Britton ex Rusby,T,,
Alchornea schomburgkii,Euphorbiaceae,Klotzsch,>10 cm dbh,,
Alchornea sodiroi,Euphorbiaceae,Pax & Hoffm.,T,,
Alchornea triplinervia,Euphorbiaceae,(Spreng.) M?ll. Arg.,T,,
Alchorneopsis floribunda,Euphorbiaceae,(Benth.) M?ll. Arg.,T,,
Alchorneopsis portoricensis,Euphorbiaceae,Urban,,,
Aldina heterophylla,Fabaceae,Spruce ex Benth. in Mart.,,,
Aldina insignis,Fabaceae,(Benth.) Endl.,T,,
Aleurites moluccanus,Euphorbiaceae,(L.) Willd.,,,
Alexa confusa,Fabaceae,Pittier,T,,
Alexa cowanii,Fabaceae,Yakovlev,T,,
Alexa imperatricis,Fabaceae,(R.H. Schomb.) Baill.,T,,
Alexa surinamensis,Fabaceae,Yakovlev,T,,
Alexa wachenheimii,Fabaceae,Benoist,,,
Alfaroa costaricensis,Juglandaceae,Standl.,"S,T",,
Alibertia acuminata,Rubiaceae,(Benth.) Sandwith,T,,
Alibertia curviflora,Rubiaceae,K. Schum.,,,
Alibertia edulis,Rubiaceae,(Rich.) A. Rich.,U,,
Alibertia garapatica,Rubiaceae,K. Schum.,"S,T",,
Alibertia hadrantha,Rubiaceae,Standl.,>10 cm dbh,,
Alibertia hirsuta,Rubiaceae,,>10 cm dbh,,
Alibertia hispida,Rubiaceae,Ducke,>10 cm dbh,,
Alibertia iquitensis,Rubiaceae,Ducke,S,,
Alibertia isernii,Rubiaceae,(Standl.) D. Simpson,S,,
Alibertia itayensis,Rubiaceae,Standl.,,,
Alibertia latifolia,Rubiaceae,(Benth.) K. Schum.,T,,
Alibertia macrantha,Rubiaceae,Standl.,U,,
Alibertia myrciifolia,Rubiaceae,K. Schum.,T,,
Alibertia pilosa,Rubiaceae,K. Krause,U,,
Alibertia premontana,Rubiaceae,C.M. Taylor,T,,
Alibertia steinbachii,Rubiaceae,Standl.,"S,T",,
Alibertia stenantha,Rubiaceae,Standl.,,,
Alibertia triflora,Rubiaceae,(A. Rich.) K. Schum.,T,,
Alibertia triloba,Rubiaceae,Steyerm.,T,,
Alibertia verrucosa,Rubiaceae,S. Moore,>10 cm dbh,,
Allamanda cathartica,Apocynaceae,L.,U,,
Allamanda schottii,Apocynaceae,Pohl,S,,
Allamanda setulosa,Apocynaceae,Miq.,S,,
Allamanda weberbaueri,Apocynaceae,Markgr.,"T,S",,
Allantoma lineata,Lecythidaceae,(Mart. & O. Berg) Miers,,,
Allenanthus erythrocarpus,Rubiaceae,Standl.,M,,
Alloispermum caracasanum,Asteraceae,(Kunth) H. Rob.,S,,
Alloispermum weberbaueri,Asteraceae,H. Rob.,"S,V",,
Allomarkgrafia ovalis,Apocynaceae,(Ruiz & Pav. ex Markgr.) Woodson,V,,
Allomarkgrafia tubiflora,Apocynaceae,Woodson ex Dwyer,V,,
Alloneuron dorrii,Melastomataceae,Wurd.,T,,
Alloneuron dudleyi,Melastomataceae,Wurdack,T,,
Alloneuron ecuadorense,Melastomataceae,Wurd.,T,,
Alloneuron majus,Melastomataceae,(Markgr.) Markgr. ex J.F. Macbr.,S,,
Alloneuron ulei,Melastomataceae,Pilg.,S,,
Allophylus acutatus,Sapindaceae,Radlk.,T?,,
Allophylus amazonicus,Sapindaceae,(Mart.) Radlk.,T,,
Allophylus angustatus,Sapindaceae,(Triana & Planch.) Radlk.,,,
Allophylus camptostachys,Sapindaceae,Radlk.,T,,
Allophylus coriaceus,Sapindaceae,Radlk.,T,,
Allophylus crassinervis,Sapindaceae,Radlk.,,,
Allophylus densiflorus,Sapindaceae,Radlk.,T,,
Allophylus divaricatus,Sapindaceae,Radlk.,>10 cm dbh,,
Allophylus dodsonii,Sapindaceae,A.H. Gentry,>10 cm dbh,,
Allophylus edulis,Sapindaceae,(St.-Hil.) Radlk. ex Warm.,T?,,
Allophylus excelsus,Sapindaceae,(Triana & Planch.) Radlk.,T,,
Allophylus floribundus,Sapindaceae,(Poepp.) Radlk.,,,
Allophylus gentryi,Sapindaceae,Croat,U,,
Allophylus glabratus,Sapindaceae,Radlk.,,,
Allophylus incanus,Sapindaceae,Radlk.,,,
Allophylus latifolius,Sapindaceae,Huber,,,
Allophylus leucoclados,Sapindaceae,Radlk.,,,
Allophylus loretensis,Sapindaceae,Standl. ex J.F. Macbr.,,,
Allophylus multicostatas,Sapindaceae,A.H. Gentry,T,,
Allophylus myrianthus,Sapindaceae,Radlk.,T,,
Allophylus nitidulus,Sapindaceae,(Triana & Planchon) Radlk.,T,,
Allophylus paniculatus,Sapindaceae,(Poepp.) Radlk.,>10 cm dbh,,
Allophylus peruvianus,Sapindaceae,Radlk.,T,,
Allophylus pilosus,Sapindaceae,(J.F. Macbr.) A.H. Gentry,U,,
Allophylus psilospermus,Sapindaceae,Radlk.,M,,
Allophylus punctatus,Sapindaceae,(Poepp. & Endl.) Radlk.,T?,,
Allophylus racemosus,Sapindaceae,Sw.,"T,U",,
Allophylus robustus,Sapindaceae,Radlk.,,,
Allophylus scrobiculatus,Sapindaceae,(Poepp.) Radlk.,,,
Allophylus stenodictyus,Sapindaceae,Radlk.,T,,
Alloplectus altescandens,Gesneriaceae,Mansf.,V,,
Alloplectus baguensis,Gesneriaceae,L. E. Skog,S,,
Alloplectus ichthyoderma,Gesneriaceae,Hanst.,S,,
Alloplectus panamensis,Gesneriaceae,C. Morton,S,,
Alloplectus peruvianus,Gesneriaceae,(Zahlbr.) Zahlbr.L.P. Kvist & L. E. Skog,"S,E",,
Alloplectus schultzei,Gesneriaceae,Mansf.,U,,
Alloplectus tetragonoides,Gesneriaceae,Mansf.,S,,
Allosanthus trifoliolatus,Sapindaceae,Radlk. in Engl.,V,,
Allosidastrum pyramidatum,Malvaceae,"(Desp. ex Cav.) Desp. ex Cav.Krapov., Fryx. & D. B",S,,
Alnus acuminata,Betulaceae,Kunth,T,,
Alonsoa linearis,Scrophulariaceae,,S,,
Aloysia aloysioides,Verbenaceae,Loes. & Moldenke,S,,
Aloysia ayacuchensis,Verbenaceae,Moldenke,S,,
Aloysia fiebrigii,Verbenaceae,(Hayek) Moldenke,S,,
Aloysia herrerae,Verbenaceae,Moldenke,S,,
Aloysia leptophylla,Verbenaceae,Loes. & Mold.,S,,
Aloysia minthiosa,Verbenaceae,Moldenke,S,,
Aloysia peruviana,Verbenaceae,Moldenke,S,,
Aloysia scorodonioides,Verbenaceae,(Kunth) Cham.,S,,
Aloysia spathulata,Verbenaceae,Moldenke,S,,
Aloysia triphylla,Verbenaceae,Royle,S,,
Aloysia virgata,Verbenaceae,,"T,S",,
Alseis blackiana,Rubiaceae,Hemsl.,T,,
Alseis eggersii,Rubiaceae,Standl.,>10 cm dbh,,
Alseis floribunda,Rubiaceae,Schott,T,,
Alseis labatioides,Rubiaceae,H. Karst. ex K. Schum.,T,,
Alseis longifolia,Rubiaceae,Ducke,T,,
Alseis lugonis,Rubiaceae,L. Andersson,>10 cm dbh,,
Alseis microcarpa,Rubiaceae,Standl. & Steyerm.,>10 cm dbh,,
Alseis peruviana,Rubiaceae,Standl.,,,
Alseis smithii,Rubiaceae,Standl.,T,,
Alsophila bryophila,Cyatheaceae,R. Tryon,,,
Alsophila cuspidata,Cyatheaceae,(Kunze) D.S. Conant,T,,
Alsophila engelii,Cyatheaceae,(H.Karst.) R.M.Tryon,h,,
Alsophila erinacea,Cyatheaceae,(H. Karst.) D.S. Conant,T,,
Alsophila firma,Cyatheaceae,(Baker) D.S. Conant,T,,
Alsophila imrayana,Cyatheaceae,(Hook.) D.S. Conant,T,,
Alsophila incana,Cyatheaceae,(H. Karst.) D.S. Conant,T,,
Alsophila paucifolia,Cyatheaceae,Baker,T,,
Alsophila portoricensis,Cyatheaceae,(Spreng. ex Kuhn) D.S. Conant,,,
Alstonia pittieri,Apocynaceae,(Donn. Sm.) A.H. Gentry,"S,T",,
Alternanthera arequipensis,Amaranthaceae,Suess.,S,,
Alternanthera brasiliana,Amaranthaceae,(L.) Kuntze,"S,V",,
Alternanthera corymbiformis,Amaranthaceae,Eliasson,S,,
Alternanthera echinocephala,Amaranthaceae,(Hook. f.) Christoph.,S,,
Alternanthera filifolia,Amaranthaceae,(Hook. f.) Howell,S,,
Alternanthera flavicoma,Amaranthaceae,(Andersson) Howell,S,,
Alternanthera flavida,Amaranthaceae,Suess.,S,,
Alternanthera porrigens,Amaranthaceae,(Jacq.) Kuntze,S,,
Alternanthera rugulosa,Amaranthaceae,(B. Robinson) Howell,U,,
Alternanthera snodgrassii,Amaranthaceae,(B. Robinson) Howell,S,,
Alternanthera vestita,Amaranthaceae,(Andersson) Howell,S,,
Alvaradoa amorphoides,Picramniaceae,Liebm.,,,
Alvaradoa arborescens,Picramniaceae,Griseb.,,,
Alzatea verticillata,Alzateaceae,Ruiz & Pav.,T,,
Amaioua corymbosa,Rubiaceae,Kunth,U,,
Amaioua guianensis,Rubiaceae,Aubl.,>10 cm dbh,,
Amaioua magnicarpa,Rubiaceae,Dwyer,U,,
Amaioua pedicellata,Rubiaceae,Dwyer,U,,
Amanoa anomala,Phyllanthaceae,Little,T,,
Amanoa congesta,Phyllanthaceae,W.J. Hayden,,,
Amanoa gracillima,Phyllanthaceae,W.J. Hayden,,,
Amanoa guianensis,Phyllanthaceae,Aubl.,T,,
Amanoa nanayensis,Phyllanthaceae,W.J. Hayden,T,,
Amanoa neglecta,Phyllanthaceae,W.J. Hayden,T,,
Amanoa oblongifolia,Phyllanthaceae,M?ll. Arg.,>10 cm dbh,,
Amanoa sinuosa,Phyllanthaceae,W.J. Hayden,,,
Amaranthus spinosus,Amaranthaceae,L.,U,,
Amasonia campestris,Lamiaceae,(Aubl.) Moldenke,T,,
Amasonia lasiocaulos,Lamiaceae,Mart. & Schauer,,,
Ambelania acida,Apocynaceae,Aubl.,>10 cm dbh,,
Ambelania duckei,Apocynaceae,Markgr.,>10 cm dbh,,
Ambelania occidentalis,Apocynaceae,Zarucchi,T,,
Ambrosia arborescens,Asteraceae,Mill.,"U,S",,
Ambrosia artemisioides,Asteraceae,Meyen & Walp. ex Meyen,S,,
Ambrosia pannosa,Asteraceae,W.W. Payne,S,,
Amburana acreana,Fabaceae,(Ducke) A.C. Sm.,T,,
Amburana cearensis,Fabaceae,(Allemao) A.C. Sm.,,,
Amicia glandulosa,Fabaceae,Kunth,S,,
Amicia lobbiana,Fabaceae,Benth. ex Rusby,V,,
Ammandra dasyneura,Arecaceae,(Burret) Barfod,U,,
Ampelocera cubensis,Ulmaceae,Griseb.,,,
Ampelocera edentula,Ulmaceae,Kuhlm.,T,,
Ampelocera hottlei,Ulmaceae,(Standl.) Standl.,T,,
Ampelocera latifolia,Ulmaceae,Ducke,,,
Ampelocera longissima,Ulmaceae,Todzia,>10 cm dbh,,
Ampelocera macphersonii,Ulmaceae,Todzia,T,,
Ampelocera macrocarpa,Ulmaceae,Forero & A.H. Gentry,T,,
Ampelocera ruizii,Ulmaceae,Klotzsch,>10 cm dbh,,
Ampelozizyphus amazonicus,Rhamnaceae,Ducke,,,
Amphidasya ambigua,Rubiaceae,(Standl.) Standl.,U,,
Amphidasya colombiana,Rubiaceae,(Standl.) Steyerm.,U,,
Amphilophium aschersonii,Bignoniaceae,Ule,V,,
Amphilophium ecuadorense,Bignoniaceae,A.H. Gentry,V,,
Amphilophium paniculatum,Bignoniaceae,(L.) Kunth,V,,
Amphilophium pannosum,Bignoniaceae,(DC.) Bureau & K. Schum.,V,,
Amphirrhox latifolia,Violaceae,Mart. ex Eichler,T,,
Amphirrhox longiflora,Violaceae,(Oudem.) S.F. Blake,T,,
Amphirrhox longifolia,Violaceae,(A. St.-Hil.) Spreng.,"S,T",,
Amphirrhox surinamensis,Violaceae,Eichl.,>10 cm dbh,,
Amphitecna apiculata,Bignoniaceae,A.H. Gentry,T,,
Amphitecna isthmica,Bignoniaceae,(A.H. Gentry) A.H. Gentry,U,,
Amphitecna kennedyi,Bignoniaceae,(A.H. Gentry) A.H. Gentry,T,,
Amphitecna latifolia,Bignoniaceae,(Mill.) A.H. Gentry,U,,
Amphitecna sessilifolia,Bignoniaceae,(Donn. Sm.) L.O. Williams,"S,T",,
Amphitecna spathicalyx,Bignoniaceae,(A.H. Gentry) A.H. Gentry,U,,
Amyris balsamifera,Rutaceae,L.,,,
Amyris crebrinervis,Rutaceae,Gereau,T,,
Amyris elemifera,Rutaceae,L.,,,
Amyris lineata,Rutaceae,C. Wright ex Griseb.,,,
Amyris macrocarpa,Rutaceae,Gereau,"S,T",,
Amyris pinnata,Rutaceae,Kunth,"T,S",,
Amyris sandemanii,Rutaceae,Sandwith,S,,
Anacardium amapaense,Anacardiaceae,J.D. Mitch.,T,,
Anacardium excelsum,Anacardiaceae,(Bert. & Balb. ex Kunth) Skeels,T,,
Anacardium fruticosum,Anacardiaceae,J.D. Mitch. & S.A. Mori,T,,
Anacardium giganteum,Anacardiaceae,W. Hancock ex Engl.,T,,
Anacardium occidentale,Anacardiaceae,L.,M,,
Anacardium parvifolium,Anacardiaceae,Ducke,>10 cm dbh,,
Anacardium spruceanum,Anacardiaceae,Benth. ex Engl. in Mart.,>10 cm dbh,,
Anadenanthera colubrina,Fabaceae,(Vell.) Brenan,,,
Anadenanthera peregrina,Fabaceae,(L.) Speg.,>10 cm dbh,,
Anaueria brasiliensis,Lauraceae,Kosterm.,>10 cm dbh,,
Anaxagorea acuminata,Annonaceae,(Dunal) A. DC.,>10 cm dbh,,
Anaxagorea allenii,Annonaceae,R.E. Fr.,S,,
Anaxagorea angustifolia,Annonaceae,Timmermans,T,,
Anaxagorea brachycarpa,Annonaceae,R. & P.,>10 cm dbh,,
Anaxagorea brevipedicellata,Annonaceae,Timmerman,T?,,
Anaxagorea brevipes,Annonaceae,Benth.,U,,
Anaxagorea crassipetala,Annonaceae,Hemsl.,"T,U",,
Anaxagorea dolichocarpa,Annonaceae,Sprague & Sandwith,>10 cm dbh,,
Anaxagorea floribunda,Annonaceae,Timmerman,S,,
Anaxagorea manausensis,Annonaceae,,,,
Anaxagorea pachypetala,Annonaceae,(Diels) R.E. Fr.,T,,
Anaxagorea panamensis,Annonaceae,Standl.,S,,
Anaxagorea petiolata,Annonaceae,R.E. Fr.,T,,
Anaxagorea phaeocarpa,Annonaceae,Mart.,T,,
Anaxagorea prinoides,Annonaceae,(Dunal) A. DC.,,,
Anaxagorea rufa,Annonaceae,Timmerman,"S,T",,
Anchietea peruviana,Violaceae,Melchior,V,,
Anchietea raimondii,Violaceae,Melchior,V,,
Ancistrothyrsus hirtellus,Passifloraceae,A.H. Gentry,V,,
Ancistrothyrsus tessmannii,Passifloraceae,Harms,V,,
Andira coriacea,Fabaceae-papilionoideae,Pulle,,,
Andira grandistipula,Fabaceae-papilionoideae,Amshoff,T,,
Andira inermis,Fabaceae-papilionoideae,(W. Wright) DC.,T,,
Andira macrothyrsa,Fabaceae-papilionoideae,Ducke,M,,
Andira micrantha,Fabaceae-papilionoideae,Ducke,>10 cm dbh,,
Andira multistipula,Fabaceae-papilionoideae,Ducke,M,,
Andira parviflora,Fabaceae-papilionoideae,Ducke,>10 cm dbh,,
Andira stipulacea,Fabaceae-papilionoideae,Benth.,,,
Andira surinamensis,Fabaceae-papilionoideae,(Bondt) Splitg. ex Amshoff,>10 cm dbh,,
Andira taurotesticulata,Fabaceae-papilionoideae,R.T. Penn.,T,,
Andira unifoliolata,Fabaceae-papilionoideae,Ducke,>10 cm dbh,,
Andira villosa,Fabaceae-papilionoideae,Kleinhoonte,T,,
Anemopaegma chrysanthum,Bignoniaceae,Dugand,V,,
Anemopaegma chrysoleucum,Bignoniaceae,(Kunth) Sandwith,V,,
Anemopaegma colombianum,Bignoniaceae,(Sandwith) A.H. Gentry,V,,
Anemopaegma flavum,Bignoniaceae,Morong,V,,
Anemopaegma floridum,Bignoniaceae,Mart. ex DC.,V,,
Anemopaegma insculptum,Bignoniaceae,(Sandwith) A.H. Gentry,V,,
Anemopaegma oligoneuron,Bignoniaceae,(Sprague & Sandwith) A.H. Gentry,V,,
Anemopaegma paraense,Bignoniaceae,Bureau & K. Schum.,V,,
Anemopaegma puberulum,Bignoniaceae,(Seibert) Miranda,V,,
Anetanthus gracilis,Gesneriaceae,Heirn,S,,
Angostura acuminata,Rutaceae,(Pilg.) Albuq.,S,,
Angostura alipes,Rutaceae,Kallunki,T,,
Angostura resinosa,Rutaceae,(Nees & Mart.) Gereau,S,,
Angostura toxicaria,Rutaceae,(Spruce ex Engl. in Mart.) Albuq.,S,,
Angostura trombetensis,Rutaceae,(Ducke) Albuq.,T,,
Angostura ucayalina,Rutaceae,(Huber) Albuq.,S,,
Aniba affinis,Lauraceae,(Meisn.) Mez,T,,
Aniba bracteata,Lauraceae,(Nees) Mez,,,
Aniba burchellii,Lauraceae,Kosterm.,>10 cm dbh,,
Aniba canelilla,Lauraceae,(Kunth) Mez,>10 cm dbh,,
Aniba cinnamomiflora,Lauraceae,C.K. Allen,T,,
Aniba citrifolia,Lauraceae,(Nees) Mez,,,
Aniba coto,Lauraceae,(Rusby) Kosterm.,T,,
Aniba cylindriflora,Lauraceae,Kosterm.,T,,
Aniba cylindrifolia,Lauraceae,,>10 cm dbh,,
Aniba excelsa,Lauraceae,Kosterm.,T,,
Aniba ferrea,Lauraceae,Kubitzki,>10 cm dbh,,
Aniba firmula,Lauraceae,(Nees & C. Mart.) Mez,,,
Aniba guianensis,Lauraceae,Aubl.,T,,
Aniba heterotepala,Lauraceae,van der Werff,>10 cm dbh,,
Aniba hostmanniana,Lauraceae,(Nees) Mez,T,,
Aniba hypoglauca,Lauraceae,Sandwith,T,,
Aniba jenmanii,Lauraceae,Mez,,,
Aniba kappleri,Lauraceae,Mez,,,
Aniba megaphylla,Lauraceae,Mez,T,,
Aniba muca,Lauraceae,(Ruiz Lopez & Pavon) Mez,U,,
Aniba panurensis,Lauraceae,(Meisn.) Mez,>10 cm dbh,,
Aniba parviflora,Lauraceae,(Meisn.) Mez,T,,
Aniba percoriacea,Lauraceae,C.K. Allen,T,,
Aniba permollis,Lauraceae,(Nees) Mez,T,,
Aniba perutilis,Lauraceae,Hemsl.,T,,
Aniba pilosa,Lauraceae,van der Werff,T,,
Aniba puchury-minor,Lauraceae,(Mart.) Mez,T,,
Aniba riparia,Lauraceae,(Nees) Mez,M,,
Aniba robusta,Lauraceae,(Klotzsch & Karsten) Mez,T,,
Aniba rosaeodora,Lauraceae,Ducke,>10 cm dbh,,
Aniba santalodora,Lauraceae,Ducke,,,
Aniba taubertiana,Lauraceae,Mez,T,,
Aniba terminalis,Lauraceae,Ducke,>10 cm dbh,,
Aniba vaupesiana,Lauraceae,Kubitzki,>10 cm dbh,,
Aniba vulcanicola,Lauraceae,van der Werff,T,,
Aniba williamsii,Lauraceae,O.C. Schmidt,>10 cm dbh,,
Anisacanthus secundus,Acanthaceae,Leonard,S,,
Aniseia martinicensis,Convolvulaceae,(Jacq.) Choisy,V,,
Anisophyllea guianensis,Anisophylleaceae,Sandwith,>10 cm dbh,,
Anisophyllea manausensis,Anisophylleaceae,Pires & W. A. Rodrigues,>10 cm dbh,,
Anneslia colletioides,Fabaceae,(Griseb.) Britton,,,
Annona acuminata,Annonaceae,Saff.,S,,
Annona amazonica,Annonaceae,R.E. Fr.,>10 cm dbh,,
Annona ambotay,Annonaceae,Aubl.,M,,
Annona asplundiana,Annonaceae,R.E. Fr.,T,,
Annona bullata,Annonaceae,Griseb.,,,
Annona cherimola,Annonaceae,Mill.,T,,
Annona deminuta,Annonaceae,R.E. Fr.,T,,
Annona densicoma,Annonaceae,Mart.,,,
Annona dolichophylla,Annonaceae,R.E. Fr.,T,,
Annona duckei,Annonaceae,Diels,M,,
Annona echinata,Annonaceae,Dunal,T?,,
Annona ecuadorensis,Annonaceae,R. E. Fries,T,,
Annona excellens,Annonaceae,R.E. Fr.,T,,
Annona foetida,Annonaceae,Mart.,>10 cm dbh,,
Annona glabra,Annonaceae,L.,U,,
Annona hayesii,Annonaceae,Saff. in Standl.,U,,
Annona hypoglauca,Annonaceae,Mart.,>10 cm dbh,,
Annona impressivenia,Annonaceae,Saff. ex R.E. Fr.,,,
Annona iquitensis,Annonaceae,R.E. Fr.,T,,
Annona macrocalyx,Annonaceae,R.E. Fr.,T,,
Annona manabiensis,Annonaceae,Saff. ex R. E. Fries,T,,
Annona montana,Annonaceae,Macfad.,U,,
Annona muricata,Annonaceae,L.,U,,
Annona neglecta,Annonaceae,R.E. Fr.,T,,
Annona nitida,Annonaceae,Mart.,T,,
Annona oligocarpa,Annonaceae,R. E. Fries,T,,
Annona palmeri,Annonaceae,Saff.,T,,
Annona paludosa,Annonaceae,Aubl.,T?,,
Annona pittieri,Annonaceae,Donn. Sm.,U,,
Annona poeppigii,Annonaceae,(Mart.) Mart.Maas & Westra,,,
Annona prevostiae,Annonaceae,H. Rainer,,,
Annona purpurea,Annonaceae,Moc. & Sess? ex Dunal,M,,
Annona reticulata,Annonaceae,L.,T,,
Annona scandens,Annonaceae,Diels,,,
Annona scleroderma,Annonaceae,Saff.,T,,
Annona sericea,Annonaceae,Dunal,,,
Annona spraguei,Annonaceae,Saff.,M,,
Annona squamosa,Annonaceae,L.,T,,
Annona symphyocarpa,Annonaceae,Sandwith,T,,
Annona tenuiflora,Annonaceae,Mart.,T?,,
Annona tenuipes,Annonaceae,R.E. Fr.,T?,,
Annona trunciflora,Annonaceae,R.E. Fr.,T?,,
Annona ulei,Annonaceae,R.E. Fr.,T?,,
Anoda cristata,Malvaceae,(L.) Schltdl.,U,,
Anomalocalyx uleanus,Euphorbiaceae,(Pax. & K.Hoffm.) Ducke,>10 cm dbh,,
Anomospermum andersonii,Menispermaceae,Krukoff,V,,
Anomospermum bolivianum,Menispermaceae,Krukoff & Moldenke,V,,
Anomospermum chloranthum,Menispermaceae,,V,,
Anomospermum grandifolium,Menispermaceae,Eichler,V,,
Anomospermum reticulatum,Menispermaceae,(Mart.) Eichler,V,,
Anthocephalus chinensis,Rubiaceae,(Lam.) Lam.Rich. ex Walp.,,,
Anthodiscus amazonicus,Caryocaraceae,Gleason & A.C. Sm.,T,,
Anthodiscus chocoensis,Caryocaraceae,Prance,T,,
Anthodiscus klugii,Caryocaraceae,Standl. ex Prance,>10 cm dbh,,
Anthodiscus mazarunensis,Caryocaraceae,Gilly,T,,
Anthodiscus peruanus,Caryocaraceae,Baill.,,,
Anthodiscus pilosus,Caryocaraceae,Ducke,>10 cm dbh,,
Anthodiscus trifoliatus,Caryocaraceae,G. Mey.,T,,
Anthodon decussatum,Celastraceae,Ruiz & Pav.,V,,
Anthodon panamense,Celastraceae,A.C. Sm.,V,,
Anthopterus cuneatus,Ericaceae,A. C. Smith,"S,H",,
Anthopterus ecuadorensis,Ericaceae,Luteyn,S,,
Anthopterus gentryi,Ericaceae,Luteyn,"S,E",,
Anthopterus molaui,Ericaceae,(Luteyn) Luteyn,S,,
Anthopterus racemosus,Ericaceae,Hook.,"T,S",,
Anthopterus revolutus,Ericaceae,(Wilbur & Luteyn) Luteyn,"S,E",,
Anthopterus schultzeae,Ericaceae,(Sleumer) Luteyn,S,,
Anthopterus verticillatus,Ericaceae,Luteyn,S,,
Anthopterus wardii,Ericaceae,Ball,"S,T",,
Anthurium albovirescens,Araceae,Sodiro,H,,
Anthurium bimarginatum,Araceae,Sodiro,H,,
Anthurium brachypodum,Araceae,Sodiro,H,,
Anthurium brevipedunculatum,Araceae,Madison,"E,H",,
Anthurium breviscapum,Araceae,Kunth,"E,H",,
Anthurium caucanum,Araceae,Engl.,H,,
Anthurium corrugatum,Araceae,Sodiro,"E,H",,
Anthurium dolichostachyum,Araceae,Sodiro,H,,
Anthurium gracile,Araceae,(Rudge) Schott,T,,
Anthurium interruptum,Araceae,Sodiro,"E,H",,
Anthurium myosuroides,Araceae,(Kunth) Endl.,H,,
Anthurium nicolasianum,Araceae,Engl.,H,,
Anthurium nigrescens,Araceae,Engl.,"E,H",,
Anthurium ochreatum,Araceae,Sodiro,H,,
Anthurium parambae,Araceae,Sodiro,H,,
Anthurium pentaphyllum,Araceae,(Aublet) G. Don,H,,
Anthurium praealtum,Araceae,Sodiro,H,,
Anthurium rhodorhizum,Araceae,Diels,H,,
Anthurium rigidifolium,Araceae,Engl.,"E,H",,
Anthurium riofrioi,Araceae,Sodiro,H,,
Anthurium sagittale,Araceae,Sodiro,H,,
Anthurium scabrinerve,Araceae,Sodiro,H,,
Anthurium striolatum,Araceae,Sodiro,H,,
Anthurium sulcatum,Araceae,Engl.,H,,
Anthurium tenuicaule,Araceae,Engl.,H,,
Anthurium tenuifolium,Araceae,Engl.,H,,
Anthurium tenuispica,Araceae,Sodiro,H,,
Anthurium tonianum,Araceae,Sodiro,"E,H",,
Anthurium treleasei,Araceae,Sodiro,H,,
Anthurium trisectum,Araceae,Sodiro,H,,
Anthurium truncicola,Araceae,Engl.,"V,H",,
Anthurium umbraculum,Araceae,Sodiro,"E,H",,
Anthurium vestitum,Araceae,Sodiro,H,,
Anthurium viridescens,Araceae,Engl.,H,,
Antidaphne andina,Eremolepidaceae,Kuijt,S,,
Antidaphne viscoidea,Eremolepidaceae,Poepp. & Endl.,S,,
Antidesma ghaesembilla,Phyllanthaceae,Gaertn.,S,,
Antigonon leptopus,Polygonaceae,Hook. & Arn.,V,,
Antirhea acutata,Rubiaceae,(DC.) Urban,,,
Antirhea coriacea,Rubiaceae,(M. Vahl) Urban,,,
Antirhea lucida,Rubiaceae,(Sw.) Sw.Benth. & Hook. f.,,,
