plot	subplot	census_date	easting	northing	adult_density	sapling_density	ABG_biomass
P37	3	7/13/2004	710181	5090859	537.5846322473	552.6214427067	74.4841465002
P37	4	7/13/2004	710112	5090839	716.7795096631	4420.9715416536	135.0310170175
P38	1	7/13/2004	709766.702	5091001.288	59.7316258053	9947.1859687205	64.6676419535
P38	2	7/13/2004	709775	5091040	238.926503221	8841.9430833071	78.1985047709
P38	3	7/13/2004	709802	5090985	0	9947.1859687205	61.417098682
P38	4	7/13/2004	709735	5090989	298.6581290263	6078.8358697737	43.1063424491
P39	1	7/21/2004	710011.165	5091280.056	597.3162580526	1657.8643281201	155.911096806
P39	2	7/21/2004	710024	5091313	119.4632516105	18236.507609321	55.1587658529
P39	3	7/21/2004	710052	5091262	298.6581290263	1105.2428854134	171.4040761983
P39	4	7/21/2004	709984	5091262	537.5846322473	552.6214427067	213.5946079823
P4	1	7/7/2004	710779.255	5091179.765	537.5846322473	10499.8074114272	144.4303181579
P4	2	7/7/2004	710787	5091174	418.1213806368	6631.4573124804	95.1604656781
P4	3	7/7/2004	710817	5091145	238.926503221	3868.3500989469	21.109799369
P4	4	7/7/2004	710773	5091111	597.3162580526	9394.5645260138	130.799634921
P40	1	7/6/2004	710789.475	5091739.534	657.0478838578	4973.5929843603	150.94733854
P40	3	7/6/2004	710822	5091727	179.1948774158	0	67.1076416569
P40	4	7/6/2004	710764	5091735	418.1213806368	3868.3500989469	96.7169444788
P41	1	7/6/2004	710576.438	5091857.134	298.6581290263	10499.8074114272	103.123532712
P41	2	7/6/2004	710588	5091890	477.8530064421	0	176.4738783654
P41	3	7/6/2004	710613	5091842	238.926503221	6078.8358697737	158.9031417842
P41	4	7/6/2004	710554	5091836	238.926503221	552.6214427067	35.0871036025
P42	1	7/6/2004	710695.213	5091927.723	418.1213806368	0	84.5503363034
P42	2	7/6/2004	710686	5091965	179.1948774158	5526.214427067	81.1022347111
P42	3	7/6/2004	710727	5091907	298.6581290263	1657.8643281201	137.4991464826
P42	4	7/6/2004	710663	5091912	418.1213806368	552.6214427067	106.1087959207
P43	1	7/7/2004	710691.391	5092239.462	238.926503221	2763.1072135335	140.6559728144
P43	2	7/7/2004	710693	5092260	477.8530064421	552.6214427067	206.1036267726
P43	3	7/7/2004	710724	5092222	537.5846322473	1105.2428854134	245.3099230197
P43	4	7/7/2004	710666	5092217	418.1213806368	2210.4857708268	182.1385783597
P44	1	7/7/2004	711013.63	5092164.7	657.0478838578	9947.1859687205	207.7699255686
P44	2	7/7/2004	711010	5092201	537.5846322473	4420.9715416536	137.3266588706
P44	3	7/7/2004	711032	5092150	537.5846322473	0	156.5945587598
P44	4	7/7/2004	710972	5092151	895.9743870789	2210.4857708268	219.012342411
P45	1	7/7/2004	710987.909	5091991.362	238.926503221	0	66.3555880355
P45	2	7/7/2004	710989	5092031	477.8530064421	2763.1072135335	158.8838306367
P45	3	7/7/2004	711028	5091990	238.926503221	7736.7001978937	71.941843401
P45	4	7/7/2004	710958	5091974	298.6581290263	3315.7286562402	79.4711798466
P46	1	7/8/2004	711506.126	5092104.733	119.4632516105	8289.3216406004	43.3684290364
P46	2	7/8/2004	711503	5092139	59.7316258053	9394.5645260138	21.5047903423
P46	3	7/8/2004	711533	5092081	0	1657.8643281201	0.6901262096
P46	4	7/8/2004	711472	5092084	0	1657.8643281201	0.4341166976
P47	1	7/12/2004	711770.773	5092027.682	836.2427612736	2210.4857708268	129.3749088772
P47	2	7/12/2004	711777	5092045	657.0478838578	6631.4573124804	179.1553005742
P47	3	7/12/2004	711809	5092014	179.1948774158	6631.4573124804	80.6591966695
P47	4	7/12/2004	711736	5092013	895.9743870789	2210.4857708268	100.7798768507
P48	1	7/12/2004	711686.668	5091773.887	0	0	0
P48	2	7/12/2004	711703	5091801	537.5846322473	1657.8643281201	129.0201523634
P48	3	7/12/2004	711720	5091749	657.0478838578	2763.1072135335	170.5801232848
P48	4	7/12/2004	711668	5091728	657.0478838578	9947.1859687205	175.4044682698
P49	1	7/8/2004	711215.819	5092341.506	0	3868.3500989469	11.4569994898
P49	2	7/8/2004	711216	5092377	59.7316258053	3315.7286562402	18.7808749793
P49	3	7/8/2004	711249	5092327	0	6078.8358697737	2.1774112673
P49	4	7/8/2004	711185	5092328	0	2210.4857708268	0.568794115
P5	1	7/7/2004	711723.193	5091586.437	358.3897548315	0	34.7672278852
P5	2	7/7/2004	710787	5091174	298.6581290263	6631.4573124804	49.5032298845
P5	3	7/7/2004	710816	5091140	716.7795096631	4420.9715416536	89.5146453747
P5	4	7/7/2004	710779	5091139	238.926503221	3315.7286562402	46.5626826482
P50	1	7/14/2004	712504.542	5091947.519	836.2427612736	12710.293182254	185.7340750069
P50	2	7/14/2004	712508	5091992	836.2427612736	11052.4288541339	241.2653150324
P50	3	7/14/2004	712538	5091950	716.7795096631	8841.9430833071	180.7221038356
P50	4	7/14/2004	712454	5091907	836.2427612736	3868.3500989469	165.2443906998
P51	1	7/13/2004	712289.917	5091488.824	179.1948774158	552.6214427067	25.4764654849
P51	2	7/13/2004	712272	5091515	537.5846322473	2210.4857708268	81.6548120256
P51	3	7/13/2004	712322	5091479	179.1948774158	0	72.6788064131
P51	4	7/13/2004	712258	5091469	358.3897548315	2763.1072135335	99.5925155202
P52	1	7/13/2004	712177.245	5091589.43	1075.1692644946	4973.5929843603	197.1160187566
P52	2	7/13/2004	712173	5091632	298.6581290263	4973.5929843603	66.0549939482
P52	3	7/13/2004	712274	5091546	179.1948774158	552.6214427067	57.2997696633
P52	4	7/13/2004	712156	5091568	597.3162580526	9394.5645260138	145.127102336
P53	1	7/13/2004	712675.947	5091389.141	1075.1692644946	9394.5645260138	126.017408759
P53	2	7/13/2004	712669	5091481	238.926503221	12710.293182254	75.8378527473
P53	3	7/13/2004	712697	5091367	1194.6325161051	6631.4573124804	118.5845962176
P53	4	7/13/2004	712637	5091365	0	3868.3500989469	17.6598687663
P54	1	8/3/2004	710277.077	5092218.252	298.6581290263	7184.0787551871	38.2542309106
P54	2	8/3/2004	710272	5092255	477.8530064421	2763.1072135335	106.1986859853
P54	3	8/3/2004	710818	5092217	657.0478838578	0	240.3160527566
P54	4	8/3/2004	710259	5092189	119.4632516105	8289.3216406004	27.5082010057
P55	1	8/3/2004	710367.544	5092011.818	0	9947.1859687205	13.1736388028
P55	2	8/3/2004	710368	5092051	298.6581290263	4420.9715416536	131.1415535923
P55	3	8/3/2004	710399	5091995	119.4632516105	0	14.6558528691
P55	4	8/3/2004	710331	5091995	0	35367.7723332285	37.914210035
P56	1	8/4/2004	710458.873	5092536.847	119.4632516105	4973.5929843603	40.6961101279
P56	2	8/4/2004	710460	5092567	597.3162580526	2210.4857708268	70.284729478
P56	3	8/4/2004	710503	5092516	179.1948774158	20999.6148228544	18.2008438046
P56	4	8/4/2004	710443	5092530	477.8530064421	4420.9715416536	87.7369749312
P57	1	7/22/2004	710893.784	5092791.973	537.5846322473	6078.8358697737	195.068108724
P57	2	7/22/2004	710884	5092832	597.3162580526	2210.4857708268	137.6354750944
P57	3	7/22/2004	710968	5092763	418.1213806368	6631.4573124804	74.2830449372
P57	4	7/22/2004	710895	5092751	179.1948774158	3868.3500989469	65.9366761399
P58	1	7/22/2004	711242.216	5092862.493	716.7795096631	0	170.8027107571
P58	2	7/22/2004	711202	5092917	537.5846322473	2210.4857708268	174.9345222449
P58	3	7/22/2004	711228	5092852	298.6581290263	0	44.2350611724
P58	4	7/22/2004	711224	5092971	1194.6325161051	3868.3500989469	271.6315954901
P59	1	8/2/2004	710172.331	5092703.477	776.5111354683	4973.5929843603	163.6430928728
P59	2	8/2/2004	710166	5092657	358.3897548315	2763.1072135335	37.2239958691
