"year","years_per_iteration","surface_elevation","aboveground_biomass","belowground_biomass","totalRootVolume","sediment_delivered","rootToShoot","rootTurnover","abovegroundTurnover","rootDepthMax","rootPackingDensity","lambda","rootShape","cumulativeTotalOm","cumulativeSequesteredOm","omFlux","omSequestration","cFlux","cSequestration"
1960,1,9.74885751416309,0.0617264547690433,0.104934973107374,1.49907104439105,0.00302291307004381,1.7,0.5,1.5,40,0.07,0.0748933068388498,0,69.5988823592456,69.420801470193,0.06576767910191,0.0654801665413061,0.0315684859689168,0.0314304799398269
1961,1,10.4085437830338,0.0618131629272813,0.105082376976378,1.50117681394826,0.00252911276352324,1.7,0.5,1.5,40,0.07,0.0748933068388498,0,69.6647303948891,69.4863879743996,0.0658480356435547,0.065586504206621,0.0316070571089062,0.0314815220191781
1962,1,11.0686428962033,0.061889963235007,0.105212937499512,1.50304196427874,0.00209388679772291,1.7,0.5,1.5,40,0.07,0.0748933068388498,0,69.7306458064159,69.5520698020417,0.0659154115268308,0.065681827642095,0.0316393975328788,0.0315272772682056
1963,1,11.72914091499,0.0619594030171649,0.10533098512918,1.50472835898829,0.00170280607384191,1.7,0.5,1.5,40,0.07,0.0748933068388498,0,69.7966206244617,69.6178353018627,0.0659748180457882,0.0657654998209267,0.0316679126619783,0.0315674399140448
1964,1,12.3900057257579,0.0620228563207427,0.105438855745263,1.50626936778947,0.00134841444488856,1.7,0.5,1.5,40,0.07,0.0748933068388498,0,69.8626515145428,69.6836758168776,0.066030890081052,0.065840515014969,0.031694827238905,0.0316034472071851
1965,1,13.0511424168146,0.0620784789356516,0.105533414190608,1.50762020272297,0.0010414617850305,1.7,0.5,1.5,40,0.07,0.0748933068388498,0,69.9287299442595,69.7495843054728,0.0660784297167396,0.0659084885951984,0.031717646264035,0.0316360745256952
1966,1,13.7124597502309,0.0621247496604328,0.105612074422736,1.5087439203248,0.000790773523234668,1.7,0.5,1.5,40,0.07,0.0748933068388498,0,69.9948419692098,69.8155515597917,0.0661120249502432,0.065967254318835,0.0317337719761167,0.0316642820730408
1967,1,14.3738619953529,0.062160514498494,0.10567287464744,1.50961249496343,0.00060299185065275,1.7,0.5,1.5,40,0.07,0.0748933068388498,0,70.0609728243351,69.8815665854867,0.0661308551253654,0.0660150256950516,0.0317428104601754,0.0316872123336248
1968,1,15.0352525774566,0.0621850079748212,0.105714513557196,1.51020733653137,0.000482448475944876,1.7,0.5,1.5,40,0.07,0.0748933068388498,0,70.1271074850988,69.9476170333639,0.0661346607636943,0.0660504478771742,0.0317446371665733,0.0317042149810436
1969,1,15.6965373829046,0.0621978670925885,0.1057363740574,1.51051962939143,0.000419058236425454,1.7,0.5,1.5,40,0.07,0.0748933068388498,0,70.1932311738405,70.0136896560309,0.0661236887417118,0.0660726226670363,0.0317393705960217,0.0317148588801774
1970,1,16.3556796561269,0.0621192416085079,0.105602710734463,1.50861015334948,0.00036499349100484,1.7,0.5,1.5,40,0.07,0.0748933068388498,0,70.259194036905,70.0797707808992,0.0659628630644136,0.0660811248682336,0.0316621742709185,0.0317189399367521
1971,1,16.9937566015236,0.0612032802976834,0.104045576506062,1.48636537865803,0.000315752856364506,1.7,0.5,1.5,40,0.07,0.0748933068388498,0,70.3235268035598,70.1457529127111,0.0643327666548998,0.0659821318119072,0.0308797279943519,0.0316714232697154
1972,1,17.6035089169598,0.0594566309003686,0.101076272530627,1.44394675043752,0.000273545078180885,1.7,0.5,1.5,40,0.07,0.0748933068388498,0,70.3843796017934,70.2106521917696,0.0608527982335687,0.0648992790585083,0.029209343152113,0.031151653948084
1973,1,18.1825531600637,0.0571873225581412,0.09721844834884,1.388834976412,0.00023869867776749,1.7,0.5,1.5,40,0.07,0.0748933068388498,0,70.44129916889,70.2734926678583,0.0569195670966423,0.062840476088752,0.0273213922063883,0.030163428522601
1974,1,18.7281033304866,0.0545744509619441,0.092776566635305,1.3253795233615,0.000209462986364965,1.7,0.5,1.5,40,0.07,0.0748933068388498,0,70.4943379737653,70.3336604225974,0.0530388048752712,0.0601677547390551,0.0254586263401302,0.0288805222747465
1975,1,19.2376126678881,0.0517015863625705,0.0878926968163698,1.25560995451957,0.000184356430157904,1.7,0.5,1.5,40,0.07,0.0748933068388498,0,70.5434487229774,70.3907520364354,0.0491107492120619,0.0570916138380113,0.0235731596217897,0.0274039746422454
1976,1,19.71233914416,0.0487563805776055,0.0828858469819293,1.18408352831328,0.000163340102769242,1.7,0.5,1.5,40,0.07,0.0748933068388498,0,70.588745576063,70.4444623252078,0.0452968530855742,0.0537102887723648,0.0217424894810756,0.0257809386107351
1977,1,20.1544138603122,0.0458860327629584,0.0780062556970293,1.11437508138613,0.000146022023884342,1.7,0.5,1.5,40,0.07,0.0748933068388498,0,70.6306156030684,70.4947066261539,0.0418700270054302,0.0502443009461757,0.0200976129626065,0.0241172644541643
1978,1,20.5672196199548,0.0432121592223302,0.0734606706779614,1.04943815254231,0.00013198617346202,1.7,0.5,1.5,40,0.07,0.0748933068388498,0,70.6695290303744,70.5415732439878,0.0389134273059994,0.0468666178338424,0.0186784451068797,0.0224959765602443
