 Wavelength Refl Tran
1110 0.4201 0.5354 
1111 0.4206 0.5346 
1112 0.4198 0.5364 
1113 0.4202 0.5353 
1114 0.4199 0.5352 
1115 0.4203 0.5355 
1116 0.4197 0.5361 
1117 0.4189 0.5352 
1118 0.4193 0.5360 
1119 0.4198 0.5374 
1120 0.4192 0.5369 
1121 0.4197 0.5370 
1122 0.4195 0.5367 
1123 0.4179 0.5356 
1124 0.4181 0.5358 
1125 0.4183 0.5354 
1126 0.4191 0.5350 
1127 0.4182 0.5344 
1128 0.4169 0.5339 
1129 0.4166 0.5333 
1130 0.4165 0.5333 
1131 0.4155 0.5335 
1132 0.4155 0.5339 
1133 0.4162 0.5337 
1134 0.4148 0.5327 
1135 0.4146 0.5322 
1136 0.4143 0.5319 
1137 0.4119 0.5300 
1138 0.4108 0.5299 
1139 0.4108 0.5292 
1140 0.4092 0.5278 
1141 0.4078 0.5275 
1142 0.4070 0.5260 
1143 0.4066 0.5255 
1144 0.4059 0.5257 
1145 0.4050 0.5246 
1146 0.4035 0.5249 
1147 0.4037 0.5242 
1148 0.4031 0.5232 
1149 0.4022 0.5228 
1150 0.4016 0.5220 
1151 0.4011 0.5219 
1152 0.4001 0.5202 
1153 0.3995 0.5199 
1154 0.3991 0.5190 
1155 0.3987 0.5184 
1156 0.3979 0.5192 
1157 0.3966 0.5188 
1158 0.3978 0.5174 
1159 0.3974 0.5184 
1160 0.3971 0.5177 
1161 0.3968 0.5174 
1162 0.3967 0.5174 
1163 0.3953 0.5180 
1164 0.3965 0.5169 
1165 0.3952 0.5174 
1166 0.3952 0.5160 
1167 0.3951 0.5154 
1168 0.3953 0.5151 
1169 0.3954 0.5151 
1170 0.3953 0.5155 
1171 0.3960 0.5155 
1172 0.3946 0.5143 
1173 0.3947 0.5150 
1174 0.3938 0.5152 
1175 0.3941 0.5150 
1176 0.3939 0.5149 
1177 0.3936 0.5145 
1178 0.3944 0.5149 
1179 0.3944 0.5142 
1180 0.3932 0.5144 
1181 0.3933 0.5138 
1182 0.3920 0.5132 
1183 0.3919 0.5140 
1184 0.3921 0.5127 
1185 0.3917 0.5124 
1186 0.3916 0.5123 
1187 0.3914 0.5129 
1188 0.3913 0.5126 
1189 0.3917 0.5123 
1190 0.3914 0.5126 
1191 0.3930 0.5138 
1192 0.3919 0.5135 
1193 0.3918 0.5131 
1194 0.3919 0.5139 
1195 0.3921 0.5137 
1196 0.3921 0.5134 
1197 0.3920 0.5134 
1198 0.3917 0.5139 
1199 0.3917 0.5140 
1200 0.3917 0.5142 
1201 0.3927 0.5146 
1202 0.3918 0.5141 
1203 0.3918 0.5139 
1204 0.3916 0.5145 
1205 0.3927 0.5139 
1206 0.3913 0.5142 
1207 0.3918 0.5144 
1208 0.3920 0.5139 
1209 0.3921 0.5140 
1210 0.3914 0.5149 
1211 0.3910 0.5144 
1212 0.3920 0.5144 
1213 0.3925 0.5147 
1214 0.3929 0.5152 
1215 0.3925 0.5150 
1216 0.3922 0.5148 
1217 0.3915 0.5143 
1218 0.3923 0.5158 
1219 0.3925 0.5164 
1220 0.3929 0.5156 
1221 0.3928 0.5166 
1222 0.3926 0.5171 
1223 0.3928 0.5158 
1224 0.3930 0.5167 
1225 0.3936 0.5168 
1226 0.3944 0.5174 
1227 0.3935 0.5176 
1228 0.3931 0.5175 
1229 0.3931 0.5176 
1230 0.3935 0.5187 
1231 0.3936 0.5185 
1232 0.3938 0.5179 
1233 0.3941 0.5191 
1234 0.3948 0.5191 
1235 0.3939 0.5190 
1236 0.3946 0.5187 
1237 0.3949 0.5198 
1238 0.3942 0.5197 
1239 0.3945 0.5196 
1240 0.3950 0.5191 
1241 0.3949 0.5199 
1242 0.3954 0.5198 
1243 0.3959 0.5201 
1244 0.3954 0.5206 
1245 0.3949 0.5209 
1246 0.3955 0.5211 
1247 0.3955 0.5212 
1248 0.3957 0.5219 
1249 0.3953 0.5208 
1250 0.3954 0.5220 
1251 0.3960 0.5222 
1252 0.3957 0.5222 
1253 0.3946 0.5216 
1254 0.3949 0.5223 
1255 0.3960 0.5216 
1256 0.3955 0.5216 
1257 0.3961 0.5213 
1258 0.3957 0.5215 
1259 0.3962 0.5223 
1260 0.3962 0.5232 
1261 0.3959 0.5228 
1262 0.3962 0.5231 
1263 0.3956 0.5230 
