wavelength_nm,refractive_index,specific_abs_coeff_chl,specific_abs_coeff_car,specific_abs_coeff_cw,specific_abs_coeff_cm
652,1.42507,0.03993,0,0.00336,2.3
653,1.42611,0.04043,0,0.00339,2.3
654,1.42721,0.04095,0,0.00342,2.3
655,1.42845,0.04152,0,0.00346,2.3
656,1.42987,0.04217,0,0.00351,2.3
657,1.43153,0.04293,0,0.00357,2.3
658,1.43348,0.0438,0,0.00364,2.3
659,1.43573,0.04478,0,0.00371,2.3
660,1.43828,0.04588,0,0.00379,2.3
661,1.44112,0.04709,0,0.00387,2.3
662,1.4442,0.04837,0,0.00393,2.3
663,1.44748,0.0497,0,0.00398,2.3
664,1.45092,0.05106,0,0.00402,2.3
665,1.45443,0.05239,0,0.00405,2.3
666,1.45796,0.05368,0,0.00407,2.3
667,1.46146,0.05488,0,0.00409,2.3
668,1.46488,0.05595,0,0.0041,2.3
669,1.46819,0.05688,0,0.00411,2.3
670,1.47137,0.05765,0,0.00412,2.3
671,1.47442,0.05826,0,0.00414,2.3
672,1.47736,0.05871,0,0.00415,2.3
673,1.48019,0.059,0,0.00416,2.3
674,1.48297,0.05914,0,0.00417,2.3
675,1.48572,0.05914,0,0.0042,2.3
676,1.48839,0.05899,0,0.00422,2.3
677,1.49092,0.05868,0,0.00425,2.3
678,1.49321,0.05819,0,0.00427,2.3
679,1.49508,0.05748,0,0.00429,2.3
680,1.49632,0.0565,0,0.00432,2.3
681,1.49667,0.05522,0,0.00435,2.3
682,1.49584,0.05361,0,0.00438,2.3
683,1.49362,0.05168,0,0.00442,2.3
684,1.48995,0.04941,0,0.00446,2.3
685,1.48471,0.04689,0,0.0045,2.3
686,1.47802,0.04416,0,0.00455,2.3
687,1.47025,0.04128,0,0.00459,2.3
688,1.46179,0.03834,0,0.00465,2.3
689,1.45302,0.03541,0,0.0047,2.3
690,1.44447,0.03254,0,0.00476,2.3
691,1.43662,0.02978,0,0.00483,2.3
692,1.42966,0.02717,0,0.0049,2.3
693,1.42375,0.02473,0,0.00499,2.3
694,1.41902,0.02247,0,0.00507,2.3
695,1.41545,0.02039,0,0.00515,2.3
696,1.41289,0.0185,0,0.00524,2.3
697,1.41125,0.01678,0,0.00535,2.3
698,1.41042,0.01523,0,0.00547,2.3
699,1.41023,0.01384,0,0.00559,2.3
700,1.41058,0.01259,0,0.00572,2.3
701,1.41134,0.01147,0,0.00585,2.3
